Microstep,SW1,SW2,SW3,SW4,Pulses per motor revolution,Recorded output speed after 24.65:1 gearbox
2,U,U,U,U,400,0.02608 deg/s
4,D,U,U,U,800,0.01304 deg/s
8,U,D,U,U,1600,0.00652 deg/s
16,D,D,U,U,3200,0.00326 deg/s
32,U,U,D,U,6400,0.00163 deg/s
64,D,U,D,U,12800,0.000815 deg/s
128,U,D,D,U,25600,0.000407 deg/s
256,D,D,D,U,51200,0.000204 deg/s
5,U,U,U,D,1000,0.01043 deg/s
10,D,U,U,D,2000,0.00522 deg/s
20,U,D,U,D,4000,0.00261 deg/s
50,D,D,U,D,10000,0.00104 deg/s
100,U,U,D,D,20000,0.000522 deg/s
200,D,U,D,D,40000,0.000261 deg/s
18,U,D,D,D,3600,0.00290 deg/s
180,D,D,D,D,36000,0.000290 deg/s
